,origin,destination,date,amount,transaction-type,x,y
0,Michael.Pham@young-martinez.info,136,2020-09-21 07:12:05,,email,-84.56011999999998,33.813150000000064
1,Michael.Pham@young-martinez.info,126,2020-10-03 09:17:14,,email,-84.56011999999998,33.813150000000064
2,Michael.Pham@young-martinez.info,144,2020-09-13 09:41:14,,email,-84.56011999999998,33.813150000000064
3,Michael.Pham@young-martinez.info,16,2020-09-19 20:21:07,,email,-84.56011999999998,33.813150000000064
4,Michael.Pham@young-martinez.info,212,2020-09-26 01:35:16,,email,-84.56011999999998,33.813150000000064
5,Michael.Pham@young-martinez.info,55,2020-10-04 03:01:57,,email,-84.56011999999998,33.813150000000064
6,Michael.Pham@young-martinez.info,62,2020-09-24 00:41:26,,email,-84.56011999999998,33.813150000000064
7,Michael.Pham@young-martinez.info,157,2020-09-12 22:09:39,,email,-84.56011999999998,33.813150000000064
8,Michael.Pham@young-martinez.info,274,2020-10-03 03:23:52,,email,-84.56011999999998,33.813150000000064
9,Sean.Hunt@jones.com,471,2020-09-15 17:41:32,,email,6.259559814000056,48.671665000000075
10,Sean.Hunt@jones.com,463,2020-09-11 15:37:59,,email,6.259559814000056,48.671665000000075
11,Sean.Hunt@jones.com,409,2020-09-10 17:22:47,,email,6.259559814000056,48.671665000000075
12,Sean.Hunt@jones.com,134,2020-09-14 15:18:02,,email,6.259559814000056,48.671665000000075
13,Sean.Hunt@jones.com,142,2020-09-16 03:06:24,,email,6.259559814000056,48.671665000000075
14,Sean.Hunt@jones.com,127,2020-09-16 04:46:04,,email,6.259559814000056,48.671665000000075
15,Sean.Hunt@jones.com,498,2020-09-17 00:25:01,,email,6.259559814000056,48.671665000000075
16,Jonathan.Golden@brooks.com,484,2020-09-25 15:58:55,,email,-4.278409999999951,38.20458711200007
17,Jonathan.Golden@brooks.com,20,2020-10-08 00:16:21,,email,-4.278409999999951,38.20458711200007
18,Jonathan.Golden@brooks.com,181,2020-09-19 13:24:51,,email,-4.278409999999951,38.20458711200007
19,Jonathan.Golden@brooks.com,165,2020-09-15 01:51:05,,email,-4.278409999999951,38.20458711200007
20,Jonathan.Golden@brooks.com,298,2020-09-25 01:12:28,,email,-4.278409999999951,38.20458711200007
21,Jonathan.Golden@brooks.com,405,2020-09-09 22:42:58,,email,-4.278409999999951,38.20458711200007
22,Jonathan.Golden@brooks.com,444,2020-09-29 19:35:06,,email,-4.278409999999951,38.20458711200007
23,Jonathan.Golden@brooks.com,31,2020-10-04 03:32:46,,email,-4.278409999999951,38.20458711200007
24,Barbara.Perkins@estrada-singleton.org,470,2020-09-22 02:49:07,,email,-122.67595499999999,45.52179000000007
25,Barbara.Perkins@estrada-singleton.org,340,2020-09-15 21:46:06,,email,-122.67595499999999,45.52179000000007
26,Barbara.Perkins@estrada-singleton.org,469,2020-09-26 21:15:27,,email,-122.67595499999999,45.52179000000007
27,Barbara.Perkins@estrada-singleton.org,203,2020-09-09 16:00:00,,email,-122.67595499999999,45.52179000000007
28,Barbara.Perkins@estrada-singleton.org,31,2020-09-27 22:49:01,,email,-122.67595499999999,45.52179000000007
